CybORG v1.0, Scenario1b
author: Matilda, team: CUAB, technique: RNNDDQN
wrappers: ChallengeWrapper(agent_name, env)
steps: 30, adversary: B_lineAgent, mean: -6.733999999999998, standard deviation 3.639353366917387
actions: [('Monitor', 'DiscoverRemoteSystems 10.0.66.64/28'), ('Monitor', 'DiscoverNetworkServices 10.0.66.77'), ('Analyse User0', 'ExploitRemoteService 10.0.66.77'), ('Misinform User3', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.110.113'), ('Misinform User3', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.110.113'), ('Analyse User2', 'ExploitRemoteService 10.0.66.77'), ('Remove Op_Host2', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.110.113'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.110.113'), ('Analyse User2', 'ExploitRemoteService 10.0.66.77'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.66.77'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.110.113'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.110.113'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -2.800000000000001
actions: [('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.183.0/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.183.8'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.183.8'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.111.38'), ('Misinform User3', 'ExploitRemoteService 10.0.111.38'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.111.32/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.111.36'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove User1', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'DiscoverNetworkServices 10.0.0.139'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.0.139'), ('Analyse Defender', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.111.36'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.111.38'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.111.38'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -9.799999999999994
actions: [('Misinform Enterprise2', 'DiscoverRemoteSystems 10.0.235.112/28'), ('Remove Defender', 'DiscoverNetworkServices 10.0.235.119'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.235.119'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.239.155'), ('Misinform User3', 'ExploitRemoteService 10.0.239.155'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.239.155'), ('Analyse User2', 'ExploitRemoteService 10.0.235.119'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.239.155'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.239.155'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.239.155'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.239.155'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.239.155'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.239.155'), ('Analyse User2', 'ExploitRemoteService 10.0.235.119'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.239.155'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.239.155'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.239.155'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'DiscoverRemoteSystems 10.0.239.144/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.239.152'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.239.152')], total reward: -6.700000000000001
actions: [('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.46.64/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.46.73'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.46.73'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.131.253'), ('Remove User1', 'ExploitRemoteService 10.0.131.253'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.46.73'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.131.253'), ('Remove User1', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.131.253'), ('Restore Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.131.253'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.131.240/28')], total reward: -5.700000000000001
actions: [('Remove Defender', 'DiscoverRemoteSystem s 10.0.114.128/28'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.114.133'), ('Misinform Enterprise1', 'ExploitRemoteService 10.0.114.133'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.53.187'), ('Remove User1', 'ExploitRemoteService 10.0.53.187'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.53.187'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.53.187'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.53.176/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.53.184'), ('Analyse Defender', 'ExploitRemoteService 10.0.53.184'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.53.184'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.220.222'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.220.222'), ('Analyse Defender', 'ExploitRemoteService 10.0.53.184'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.53.184'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.53.187'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.53.187'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.53.187'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.53.187'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -7.799999999999995
actions: [('Misinform Enterprise2', 'DiscoverRemoteSystems 10.0.251.80/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.251.86'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.251.86'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.119.177'), ('Misinform User3', 'ExploitRemoteService 10.0.119.177'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.119.177'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.119.177'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.119.177'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.119.177'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'ExploitRemoteService 10.0.119.177'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.119.177'), ('Analyse User2', 'ExploitRemoteService 10.0.251.86'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.119.177'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.119.177'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.119.177'), ('Analyse User2', 'ExploitRemoteService 10.0.251.86'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.119.177'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.119.177'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.251.86'), ('Misinform User4', 'PrivilegeEscalate User1')], total reward: -2.800000000000001
actions: [('Misinform User4', 'DiscoverRemoteSystems 10.0.253.96/28'), ('Remove User1', 'DiscoverNetworkServices 10.0.253.104'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.253.104'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.10.115'), ('Misinform User3', 'ExploitRemoteService 10.0.10.115'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.10.115'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.10.112/28'), ('Analyse Enterprise0', 'DiscoverNetworkServices 10.0.10.126'), ('Analyse Defender', 'ExploitRemoteService 10.0.10.126'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.10.126'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.10.126'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove User1', 'ExploitRemoteService 10.0.10.126'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'ExploitRemoteService 10.0.10.126'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.10.115'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.10.115'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.10.115'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.10.115'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.10.115'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1')], total reward: -4.699999999999998
actions: [('Misinform Enterprise2', 'DiscoverRemoteSystems 10.0.102.112/28'), ('Remove Op_Host2', 'DiscoverNetworkServices 10.0.102.120'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.102.120'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.253.156'), ('Misinform User3', 'ExploitRemoteService 10.0.253.156'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.253.156'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.253.156'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.253.156'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.253.144/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.253.151'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.253.151'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.253.156'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.253.156'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'DiscoverRemoteSystems 10.0.253.144/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.253.151'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.253.151'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.253.151'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.85.7'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.85.7'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.253.151'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2')], total reward: -13.799999999999995
actions: [('Remove User1', 'DiscoverRemoteSystems 10.0.121.144/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.121.146'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.121.146'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.178.153'), ('Remove User1', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.178.153'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.178.144/28'), ('Analyse Op_Host0', 'DiscoverNetworkServices 10.0.178.146'), ('Analyse Defender', 'ExploitRemoteService 10.0.178.146'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.178.146'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.178.146'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'ExploitRemoteService 10.0.178.146')], total reward: -4.799999999999997
actions: [('Remove Enterprise2', 'DiscoverRemoteSystems 10.0.255.160/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.255.171'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.255.171'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.132.130'), ('Remove User1', 'ExploitRemoteService 10.0.132.130'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'DiscoverRemoteSystems 10.0.132.128/28'), ('Analyse User2', 'DiscoverNetworkServices 10.0.132.134'), ('Restore Enterprise1', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'DiscoverNetworkServices 10.0.206.52'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.206.52'), ('Analyse Op_Host0', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove User1', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'ExploitRemoteService 10.0.132.134'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Analyse User0', 'DiscoverNetworkServices 10.0.206.52'), ('Restore Enterprise2', 'ExploitRemoteService 10.0.206.52'), ('Analyse Defender', 'ExploitRemoteService 10.0.132.134')], total reward: -12.799999999999994
actions: [('Remove Enterprise2', 'DiscoverRemoteSystems 10.0.32.64/28'), ('Remove User1', 'DiscoverNetworkServices 10.0.32.70'), ('Misinform User4', 'ExploitRemoteService 10.0.32.70'), ('Remove User1', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.56.150'), ('Remove User1', 'ExploitRemoteService 10.0.56.150'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Misinform Enterprise2', 'ExploitRemoteService 10.0.56.150'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'ExploitRemoteService 10.0.56.150'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove User4', 'ExploitRemoteService 10.0.56.150'), ('Analyse User2', 'ExploitRemoteService 10.0.32.70'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.56.150'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.56.150'), ('Remove Enterprise1', 'PrivilegeEscalate Enterprise1'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.56.150'), ('Analyse User2', 'ExploitRemoteService 10.0.32.70'), ('Analyse Op_Host0', 'PrivilegeEscalate User1'), ('Misinform User4', 'DiscoverNetworkServices 10.0.56.150'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.56.150'), ('Analyse Op_Host0', 'PrivilegeEscalate Enterprise1'), ('Restore Enterprise1', 'DiscoverRemoteSystems 10.0.56.144/28'), ('Misinform User4', 'DiscoverNetworkServices 10.0.56.154'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.56.154'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.56.154'), ('Remove Enterprise2', 'PrivilegeEscalate Enterprise2'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.56.154')], total reward: -4.799999999999999
